,Unnamed: 0,index,h-index,h5-index,i10-index,i10-5-index,institution,name,url,n citations,n5 citations,field,gender,gender_prob,count_name
0,1,0,117,83,309,245,University of Vienna,Georg Kresse,https://scholar.google.com//citations?user=Pn8ouvAAAAAJ&hl=en,206933,121867,1,male,1.0,64
1,2,1,117,72,471,338,Rice University,Gustavo E. Scuseria,https://scholar.google.com//citations?user=6ZiRSwQAAAAJ&hl=en,216643,105708,1,male,1.0,1161
2,3,2,198,115,1018,554,University of California Santa Barbara,Alan Heeger,https://scholar.google.com//citations?user=tvQY9iIAAAAJ&hl=en,202047,71412,1,male,1.0,2079
3,4,3,176,140,1433,1052,"Royal Holloway, University of London",Glen Cowan,https://scholar.google.com//citations?user=ljQwt8QAAAAJ&hl=en,243320,134033,1,male,0.98,409
4,5,4,197,162,1551,1234,University of Kansas,Alice Bean,https://scholar.google.com//citations?user=gVCA0GoAAAAJ&hl=en,197821,128791,1,female,1.0,1414
5,6,5,183,144,1633,1174,Universidad Antonio Narino,DEYWIS MORENO,https://scholar.google.com//citations?user=bmK98lQAAAAJ&hl=en,211401,130170,1,,,
6,7,6,200,152,1734,1219,Kyungpook National University,Sehwook Lee,https://scholar.google.com//citations?user=d1rRAL4AAAAJ&hl=en,200926,113486,1,,,
7,8,7,195,135,1231,875,University of Rochester,A. Bodek,https://scholar.google.com//citations?user=HhMHQkwAAAAJ&hl=en,186774,108337,1,,,
8,9,8,177,102,1071,684,Boston University,H. Eugene Stanley,https://scholar.google.com//citations?user=1fatN9EAAAAJ&hl=en,166211,62557,1,male,1.0,1
9,10,9,190,156,1668,1116,,Farkhad Khalil-zada,https://scholar.google.com//citations?user=6kWOu6IAAAAJ&hl=en,179679,115453,1,,,
10,11,10,185,134,989,720,University of Toronto,"Pekka Sinervo, FRSC",https://scholar.google.com//citations?user=k9L6jPYAAAAJ&hl=en,170751,94974,1,,,
11,12,11,151,128,1300,980,IIT Bombay,Piyali Banerjee,https://scholar.google.com//citations?user=cOsxSDEAAAAJ&hl=en,170042,118976,1,female,1.0,6
12,13,12,166,151,1150,969,,Andrea Ventura,https://scholar.google.com//citations?user=bmYzIqEAAAAJ&hl=en,175864,141691,1,female,0.79,5794
13,14,13,187,142,1142,808,,daniela bortoletto,https://scholar.google.com//citations?user=UKQUorEAAAAJ&hl=en,184059,111836,1,female,0.99,2105
14,15,14,179,154,1191,896,University of Massachusetts - Amherst,Carlo Dallapiccola,https://scholar.google.com//citations?user=jB7gVJAAAAAJ&hl=en,167807,113424,1,male,0.99,423
15,16,15,183,150,1198,935,Kansas State University,Andrew Ivanov,https://scholar.google.com//citations?user=zIu1sq8AAAAJ&hl=en,169029,121330,1,male,1.0,5168
16,17,16,183,147,1301,864,University of Oregon,David M Strom,https://scholar.google.com//citations?user=-o6t-4wAAAAJ&hl=en,163238,95588,1,male,1.0,12593
17,18,17,179,156,1145,945,University of Victoria,Justin Albert,https://scholar.google.com//citations?user=7elo0IwAAAAJ&hl=en,162070,114434,1,male,1.0,2871
18,19,18,179,135,1358,951,,Halil Saka,https://scholar.google.com//citations?user=7Kdg7XcAAAAJ&hl=en,165440,102503,1,male,0.99,335
19,20,19,177,153,1101,728,University of Freiburg,Gregor Herten,https://scholar.google.com//citations?user=xX2NGHUAAAAJ&hl=en,161604,107045,1,male,1.0,64
20,21,20,178,151,1222,942,Catholic University of America,Aaron Dominguez,https://scholar.google.com//citations?user=hubbOpEAAAAJ&hl=en,157896,106125,1,male,1.0,2280
21,22,21,102,81,189,163,University of Michigan,Mark Newman,https://scholar.google.com//citations?user=rQ68pVwAAAAJ&hl=en,158733,88478,1,male,1.0,6176
22,23,22,195,128,901,691,Kyungpook National University,H.J. Kim,https://scholar.google.com//citations?user=Xpt9ulQAAAAJ&hl=en,157214,80756,1,,,
23,24,23,168,133,1049,757,Harvard University,Masahiro Morii,https://scholar.google.com//citations?user=0TWLCU8AAAAJ&hl=en,157292,96808,1,male,1.0,16
24,25,24,55,38,100,83,"Indiana University, Bloomington",Srinivasan Iyengar,https://scholar.google.com//citations?user=2i-EEtYAAAAJ&hl=en,152047,72108,1,male,1.0,12
25,26,25,179,159,915,757,University of Arizona,Elliott Cheu,https://scholar.google.com//citations?user=EH2LUukAAAAJ&hl=en,149961,109753,1,male,0.99,179
26,27,26,170,128,1053,828,Harvard University,Joao Guimaraes da Costa,https://scholar.google.com//citations?user=mWXjhlsAAAAJ&hl=en,152691,96005,1,male,1.0,283
27,28,27,60,48,129,118,Ecole Polytechnique Fédérale de Lausanne,Oleg Yazyev,https://scholar.google.com//citations?user=fy6BksUAAAAJ&hl=en,143581,87227,1,male,0.99,86
28,29,28,170,132,1007,760,Northeastern University,Darien Wood,https://scholar.google.com//citations?user=xlrFkp8AAAAJ&hl=en,150273,95592,1,female,0.81,26
29,30,29,163,150,928,817,Shanghai Jiao Tong University,Haijun Yang,https://scholar.google.com//citations?user=7Q8Zk38AAAAJ&hl=en,153400,120432,1,,,
30,31,30,173,130,964,737,McGill University,Andreas Warburton,https://scholar.google.com//citations?user=HI4OwhYAAAAJ&hl=en,156082,95805,1,male,1.0,1021
31,32,31,173,140,1273,928,University of Kansas,Philip Baringer,https://scholar.google.com//citations?user=a_G_PSkAAAAJ&hl=en,145075,93747,1,male,1.0,1097
32,33,32,114,62,363,187,,Lev Davidovich Landau,https://scholar.google.com//citations?user=z-tOdB4AAAAJ&hl=en,142502,35769,1,male,0.95,19
33,34,33,165,113,842,581,Michigan State University,Carl Bromberg,https://scholar.google.com//citations?user=6IavpZkAAAAJ&hl=en,143329,80997,1,male,1.0,929
34,35,34,191,144,680,539,Kyungpook National University,DongHee Kim,https://scholar.google.com//citations?user=RvzNZeQAAAAJ&hl=en,139958,80835,1,female,0.5,2
35,36,35,154,122,681,547,University of Sydney,Bruce Yabsley,https://scholar.google.com//citations?user=D0SJGwoAAAAJ&hl=en,142498,99636,1,male,1.0,800
36,37,36,162,127,785,583,Radboud University,Nicolo de Groot,https://scholar.google.com//citations?user=mCHyehIAAAAJ&hl=en,137866,90888,1,male,1.0,9
37,38,37,170,128,888,691,York University,Wendy J Taylor,https://scholar.google.com//citations?user=RjhPrcIAAAAJ&hl=en,139303,85091,1,female,0.99,1964
38,39,38,155,123,790,637,Centro Brasileiro de Pesquisas Fisicas,Gilvan Augusto Alves,https://scholar.google.com//citations?user=ZzJYJvsAAAAJ&hl=en,136689,92026,1,male,1.0,13
39,40,39,169,150,881,711,University of Massachusetts,Stephane Willocq,https://scholar.google.com//citations?user=YyQ1XrkAAAAJ&hl=en,136369,99003,1,male,0.99,221
40,41,40,143,88,900,525,Ohio State University,Klaus Honscheid,https://scholar.google.com//citations?user=5qBzgbIAAAAJ&hl=en,134821,43179,1,male,0.98,177
41,42,41,168,150,897,671,University of Athens,Christine Kourkoumelis,https://scholar.google.com//citations?user=0recCDkAAAAJ&hl=en,135546,97715,1,female,1.0,3115
42,43,42,151,123,794,497,Queen Mary University of London,S L Lloyd,https://scholar.google.com//citations?user=h9ehaQwAAAAJ&hl=en,135428,87329,1,male,0.67,42
43,44,43,167,147,774,668,University of Arizona,John Rutherfoord,https://scholar.google.com//citations?user=izg65G0AAAAJ&hl=en,133619,96958,1,male,0.99,9931
44,45,44,169,148,935,695,University of Chicago,Mark Oreglia,https://scholar.google.com//citations?user=DWdw42oAAAAJ&hl=en,133473,94694,1,male,1.0,6176
