,H_index,H_index_5,I_index,I_index_5,prof_insti,prof_name,tot_citations,tot_citations_5
0,171,141,1089,827,University of Oregon,Eric Torrence,156414,107028
1,187,154,1240,973,Karlsruhe Institute of Technology,Joerg Meyer,161714,113955
2,183,134,417,370,stanford university,"Hongjie Dai, NR",180772,85113
3,181,140,1454,1059,NA,francesca pastore,185705,107978
4,134,104,301,250,Northeastern University,Albert-László Barabási,192157,91173
5,192,102,323,276,NA,Edward Witten,193279,41773
6,203,152,1840,1450,Cinvestav,Heriberto Castilla,203740,123728
7,186,140,1615,1140,University of Edinburgh,Thomas Doherty,220645,132360
8,213,137,1674,1109,Seoul National University,s. b. kim,234559,105153
9,175,137,1417,1033,"Royal Holloway, University of London",Glen Cowan,243331,130656
10,48,23,85,40,NA,William T. Vetterling,133439,23707
11,153,122,782,626,Centro Brasileiro de Pesquisas Fisicas,Gilvan Augusto Alves,134018,89398
12,156,126,838,688,NA,J Ellison,135299,89636
13,157,127,887,720,Fermilab,Ronald Lipton,136162,91743
14,131,102,509,392,Boston University,Saul Youssef,138809,87770
15,164,112,840,580,Michigan State University,Carl Bromberg,141510,79197
16,145,124,1160,897,NA,S. L. Zang,141517,109635
17,164,98,1164,647,University of Minnesota,Donald Truhlar,146876,65531
18,172,128,954,728,McGill University,Andreas Warburton,153896,93737
19,118,94,458,389,University of British Columbia,Douglas Scott,156298,82988
20,160,136,700,620,NA,John L Wood,119556,88142
21,145,119,638,561,NA,Sergey Kuleshov,121075,87485
22,143,122,682,461,University of Bologna,francesco navarria,121502,81947
23,113,68,370,224,NA,Albert Einstein,122385,38734
24,138,106,628,420,INFN,Paolo Laurelli,123180,74178
25,161,134,1046,730,Cornell University,Jim Alexander,123598,81058
26,143,122,642,465,NA,Lucia Silvestris,124818,82129
27,144,88,490,357,University of California at Berkeley,Steven G. Louie,125316,60496
28,153,130,830,755,NA,Francesco Crescioli,126136,100181
29,159,127,669,607,Korea University,Byungsik Hong,130336,92329
30,154,102,847,613,NA,Sandra Leone,109855,56133
31,134,125,507,458,Homepage,Benjamin Hooberman,110612,93419
32,145,123,696,612,Boston University,Tulika Bose,111315,84007
33,138,119,688,487,Homepage,Dezso Horvath,112482,83121
34,148,122,588,518,Universita' della Calabria,Enrico Tassi,113645,82254
35,152,120,788,675,University of Zurich,Florencia Canelli,113646,79322
36,92,50,465,195,NA,John S. Bell,115672,33961
37,162,129,716,627,Rice University,Ajayan PM,118470,68225
38,144,113,658,540,NA,Sandro De Cecco,118809,80982
39,140,122,693,473,CERN,Tiziano Camporesi,119142,82220
40,131,116,519,416,Lappeenranta University of Technology,Tuure Tuuva,101466,77993
41,133,121,538,487,INFN,gabriella pugliese,101711,84352
42,123,111,418,410,NA,Thomas Koffas,102575,83887
43,127,112,496,422,Université de Genève,Domenico della Volpe,103088,76151
44,137,123,533,489,NA,Martti Raidal,104575,84523
45,126,115,592,456,CERN,H.H.J. ten Kate,105214,81690
46,137,118,582,508,Vrije Universiteit Brussel,Freya Blekman,107593,81785
47,137,114,604,516,Simon Fraser University,Dugan O'Neil,107773,76104
48,122,111,379,378,CERN,Roberto Di Nardo,108360,90280
49,147,134,611,551,CERN,Xavier Espinal Curull,108695,87144
50,128,118,434,404,Homepage,Stefano Lacaprara,92434,77243
51,124,112,419,399,FHNW,Diego Casadei,92722,75192
52,149,135,551,516,University of Bari,Marcello Abbrescia,96507,81239
53,129,116,587,427,National Centre for Physics,Hafeez R. Hoorani,97397,74186
54,146,110,609,431,Yale University,John W. Harris,98722,48272
55,124,113,407,390,NA,Miguel Villaplana,98847,81870
56,113,68,370,224,NA,Albert Einstein,122385,38734
57,140,127,513,487,NA,Mia Tosi,100165,84943
58,152,136,677,616,Brookhaven National Laboratory,Chamizo Llatas Maria,101012,82210
59,139,117,549,462,CERN,Nuno Leonardo,101183,76853
60,126,51,918,286,NA,Manuel Cardona,86407,16354
61,128,118,414,399,NA,Simone Gennai,86757,73474
62,120,108,291,287,LIP,Pina J.,87490,70417
63,103,84,434,328,Radboud University Nijmegen,Mikhail Katsnelson,87807,54355
64,125,97,648,537,Homepage,giulia manca,88718,60968
65,142,101,736,436,Homepage,alessandro de angelis,90082,41231
66,139,81,621,378,"University of Colorado ,Boulder",Alex Zunger,90199,29799
67,126,117,406,402,NA,Ozlem Kaya,91241,77897
68,129,117,415,403,CERN,Gianluca Cerminara,92283,77755
69,53,47,97,91,Penn State,Reka Albert,92390,39744
70,142,66,583,332,NA,Nicola Turini,74870,19971
71,117,108,297,296,University of Texas at El Paso,Roy Montalvo,75616,66359
72,134,121,413,359,NA,G Merino,75883,59257
73,132,68,567,339,INFN,stefano lami,76889,24594
74,109,67,549,291,NA,"Rashid Sunyaev, R.A. Sunyaev, R. Syunyaev, Р. Сюняев",80343,42218
75,139,90,427,313,University of Innsbruck,Peter Zoller,80979,33341
76,136,130,490,489,NA,César A. Bernardes,82031,75009
77,53,26,87,44,New York University,Pierre Hohenberg,82085,24144
78,122,115,377,376,Northeastern University,Andrea Massironi,83850,74388
79,132,79,782,471,Scuola Normale Superiore of Pisa,Alberto Lusiani,84884,35348
80,110,98,257,228,INFN,Roberto Perrino,67615,50807
81,121,95,316,269,Stanford University,Per Hansson Adrian,67769,49052
82,98,91,195,190,Homepage,Babak ABI,67951,54150
83,109,58,268,212,California Institute of Technology,James R. Heath,69020,20656
84,108,105,242,232,NA,Amr Radi,69091,62635
85,103,74,242,158,University of California Los Angeles,Katsushi Arisaka,72574,44623
86,135,97,682,438,NA,mazzoni maria alessandra,73154,37263
87,100,89,209,198,Homepage,Gennady Pospelov,73770,56935
88,109,80,1452,949,Kent State University,Young-Ki Kim,74400,43961
89,135,117,377,356,NA,Luis M. Villasenor Cendejas,74441,57594
90,94,63,307,201,NA,Apple Owner,61405,22103
91,121,62,901,674,NA,STUDY TO SHINE,61764,23695
92,87,73,168,151,CERN,Hans Danielsson,62464,44144
93,108,79,745,543,Homepage,Young Hee Lee,63130,33955
94,101,88,187,180,Middle East Technical University,Bilge Demirkoz,63550,48080
95,100,74,185,119,University of Roma Sapienza,Luciano M. Barone,64078,45375
96,94,62,248,175,Harvard University,Christopher Stubbs,64109,25441
97,48,39,88,80,Homepage,michele lazzeri,64905,46036
