,H_index,H_index_5,I_index,I_index_5,prof_insti,prof_name,tot_citations,tot_citations_5
0,213,137,1674,1109,Seoul National University,s. b. kim,234559,105153
1,186,140,1615,1141,University of Edinburgh,Thomas Doherty,220740,132451
2,203,152,1840,1451,Cinvestav,Heriberto Castilla,203847,123844
3,192,102,323,276,NA,Edward Witten,193280,41785
4,134,104,301,250,Northeastern University,Albert-László Barabási,192157,91173
5,181,141,1454,1060,NA,francesca pastore,185858,108128
6,183,134,417,370,stanford university,"Hongjie Dai, NR",180817,85141
7,187,155,1240,974,Karlsruhe Institute of Technology,Joerg Meyer,161861,114105
8,118,94,460,390,University of British Columbia,Douglas Scott,156483,83199
9,171,141,1089,827,University of Oregon,Eric Torrence,156414,107028
10,172,128,954,728,McGill University,Andreas Warburton,153896,93737
11,164,98,1164,647,University of Minnesota,Donald Truhlar,146876,65531
12,164,112,840,580,Michigan State University,Carl Bromberg,141584,79260
13,145,124,1160,897,NA,S. L. Zang,141517,109635
14,131,102,511,394,Boston University,Saul Youssef,138938,87894
15,157,127,886,720,Fermilab,Ronald Lipton,136283,91880
16,156,127,839,690,NA,J Ellison,135425,89779
17,153,122,782,626,Centro Brasileiro de Pesquisas Fisicas,Gilvan Augusto Alves,134132,89527
18,48,23,85,40,NA,William T. Vetterling,133439,23707
19,159,127,670,609,Korea University,Byungsik Hong,130451,92447
20,153,130,834,759,NA,Francesco Crescioli,126237,100278
21,144,88,490,357,University of California at Berkeley,Steven G. Louie,125316,60496
22,143,122,642,465,NA,Lucia Silvestris,124818,82129
23,161,134,1045,730,Cornell University,Jim Alexander,123711,81175
24,138,107,630,422,INFN,Paolo Laurelli,123307,74305
25,113,68,370,224,NA,Albert Einstein,122385,38734
26,143,122,682,461,University of Bologna,francesco navarria,121502,81947
27,145,119,638,562,NA,Sergey Kuleshov,121183,87601
28,160,137,701,622,NA,John L Wood,119678,88264
29,140,122,694,474,CERN,Tiziano Camporesi,119280,82353
30,144,112,660,542,NA,Sandro De Cecco,118934,81098
31,162,129,716,627,Rice University,Ajayan PM,118470,68225
32,92,50,465,195,NA,John S. Bell,115672,33961
33,152,120,790,677,University of Zurich,Florencia Canelli,113764,79429
34,149,123,589,519,Universita' della Calabria,Enrico Tassi,113763,82367
35,138,119,689,488,Homepage,Dezso Horvath,112610,83253
36,135,125,508,459,Homepage,Benjamin Hooberman,110729,93536
37,154,101,848,614,NA,Sandra Leone,109947,56214
38,145,123,696,612,Boston University,Tulika Bose,111315,84007
39,148,134,612,552,CERN,Xavier Espinal Curull,108825,87272
40,122,111,380,379,CERN,Roberto Di Nardo,108486,90404
41,137,114,604,517,Simon Fraser University,Dugan O'Neil,107870,76213
42,137,118,582,508,Vrije Universiteit Brussel,Freya Blekman,107593,81785
43,126,115,593,457,CERN,H.H.J. ten Kate,105340,81814
44,137,123,534,490,NA,Martti Raidal,104697,84643
45,127,112,496,422,Université de Genève,Domenico della Volpe,103088,76151
46,123,111,419,411,NA,Thomas Koffas,102686,83996
47,133,121,538,487,INFN,gabriella pugliese,101711,84352
48,131,117,519,416,Lappeenranta University of Technology,Tuure Tuuva,101590,78113
49,139,117,550,463,CERN,Nuno Leonardo,101310,76977
50,153,137,677,616,Brookhaven National Laboratory,Chamizo Llatas Maria,101123,82322
51,140,127,514,488,NA,Mia Tosi,100291,85073
52,113,68,370,224,NA,Albert Einstein,122385,38734
53,124,113,408,391,NA,Miguel Villaplana,98980,81999
54,146,110,609,431,Yale University,John W. Harris,98722,48272
55,129,116,587,427,National Centre for Physics,Hafeez R. Hoorani,97397,74186
56,149,135,552,517,University of Bari,Marcello Abbrescia,96614,81348
57,124,112,420,400,FHNW,Diego Casadei,92845,75312
58,129,118,435,405,Homepage,Stefano Lacaprara,92558,77369
59,129,117,416,404,CERN,Gianluca Cerminara,92412,77884
60,53,47,97,91,Penn State,Reka Albert,92390,39744
61,127,117,407,403,NA,Ozlem Kaya,91372,78028
62,139,81,621,378,"University of Colorado ,Boulder",Alex Zunger,90216,29808
63,142,101,736,436,Homepage,alessandro de angelis,90139,41282
64,125,97,650,539,Homepage,giulia manca,88727,60970
65,103,84,434,328,Radboud University Nijmegen,Mikhail Katsnelson,87834,54352
66,120,109,291,287,LIP,Pina J.,87567,70492
67,129,118,414,399,NA,Simone Gennai,86883,73602
68,126,51,918,286,NA,Manuel Cardona,86407,16354
69,132,79,781,471,Scuola Normale Superiore of Pisa,Alberto Lusiani,84918,35375
70,122,115,377,376,Northeastern University,Andrea Massironi,83850,74388
71,53,26,87,44,New York University,Pierre Hohenberg,82113,24160
72,136,130,490,489,NA,César A. Bernardes,82031,75009
73,139,90,427,313,University of Innsbruck,Peter Zoller,80979,33341
74,109,67,549,291,NA,"Rashid Sunyaev, R.A. Sunyaev, R. Syunyaev, Р. Сюняев",80413,42285
75,132,68,567,339,INFN,stefano lami,76889,24594
76,135,121,414,360,NA,G Merino,75988,59299
77,117,108,297,296,University of Texas at El Paso,Roy Montalvo,75616,66359
