,h_index,h5_index,i10_index,i10_5_index,institution,name,url,n citations,n5 citations,field,gender,gender_prob,wiki_bool,wiki_length
0,117,83,309,245,University of Vienna,Georg Kresse,https://scholar.google.com//citations?user=Pn8ouvAAAAAJ&hl=en,206933,121867,1,male,1.0,False,0.0
1,117,72,471,338,Rice University,Gustavo E. Scuseria,https://scholar.google.com//citations?user=6ZiRSwQAAAAJ&hl=en,216643,105708,1,male,1.0,False,0.0
2,198,115,1018,554,University of California Santa Barbara,Alan Heeger,https://scholar.google.com//citations?user=tvQY9iIAAAAJ&hl=en,202047,71412,1,male,1.0,True,253.0
3,176,140,1433,1052,"Royal Holloway, University of London",Glen Cowan,https://scholar.google.com//citations?user=ljQwt8QAAAAJ&hl=en,243320,134033,1,male,0.98,True,2681.0
4,197,162,1551,1234,University of Kansas,Alice Bean,https://scholar.google.com//citations?user=gVCA0GoAAAAJ&hl=en,197821,128791,1,female,1.0,False,0.0
5,183,144,1633,1174,Universidad Antonio Narino,DEYWIS MORENO,https://scholar.google.com//citations?user=bmK98lQAAAAJ&hl=en,211401,130170,1,male,1.0,False,0.0
6,200,152,1734,1219,Kyungpook National University,Sehwook Lee,https://scholar.google.com//citations?user=d1rRAL4AAAAJ&hl=en,200926,113486,1,female,1.0,False,0.0
7,195,135,1231,875,University of Rochester,A. Bodek,https://scholar.google.com//citations?user=HhMHQkwAAAAJ&hl=en,186774,108337,1,female,0.79,False,0.0
8,177,102,1071,684,Boston University,H. Eugene Stanley,https://scholar.google.com//citations?user=1fatN9EAAAAJ&hl=en,166211,62557,1,female,0.99,True,10897.0
9,190,156,1668,1116,,Farkhad Khalil-zada,https://scholar.google.com//citations?user=6kWOu6IAAAAJ&hl=en,179679,115453,1,male,0.99,False,0.0
10,185,134,989,720,University of Toronto,"Pekka Sinervo, FRSC",https://scholar.google.com//citations?user=k9L6jPYAAAAJ&hl=en,170751,94974,1,male,1.0,False,0.0
11,151,128,1300,980,IIT Bombay,Piyali Banerjee,https://scholar.google.com//citations?user=cOsxSDEAAAAJ&hl=en,170042,118976,1,male,1.0,False,0.0
12,166,151,1150,969,,Andrea Ventura,https://scholar.google.com//citations?user=bmYzIqEAAAAJ&hl=en,175864,141691,1,male,1.0,False,0.0
13,187,142,1142,808,,daniela bortoletto,https://scholar.google.com//citations?user=UKQUorEAAAAJ&hl=en,184059,111836,1,male,0.99,False,0.0
14,179,154,1191,896,University of Massachusetts - Amherst,Carlo Dallapiccola,https://scholar.google.com//citations?user=jB7gVJAAAAAJ&hl=en,167807,113424,1,male,1.0,False,0.0
15,183,150,1198,935,Kansas State University,Andrew Ivanov,https://scholar.google.com//citations?user=zIu1sq8AAAAJ&hl=en,169029,121330,1,male,1.0,False,0.0
16,183,147,1301,864,University of Oregon,David M Strom,https://scholar.google.com//citations?user=-o6t-4wAAAAJ&hl=en,163238,95588,1,male,1.0,False,0.0
17,179,156,1145,945,University of Victoria,Justin Albert,https://scholar.google.com//citations?user=7elo0IwAAAAJ&hl=en,162070,114434,1,male,1.0,True,8909.0
18,179,135,1358,951,,Halil Saka,https://scholar.google.com//citations?user=7Kdg7XcAAAAJ&hl=en,165440,102503,1,male,1.0,False,0.0
19,177,153,1101,728,University of Freiburg,Gregor Herten,https://scholar.google.com//citations?user=xX2NGHUAAAAJ&hl=en,161604,107045,1,male,0.99,False,0.0
20,178,151,1222,942,Catholic University of America,Aaron Dominguez,https://scholar.google.com//citations?user=hubbOpEAAAAJ&hl=en,157896,106125,1,male,1.0,False,0.0
21,102,81,189,163,University of Michigan,Mark Newman,https://scholar.google.com//citations?user=rQ68pVwAAAAJ&hl=en,158733,88478,1,male,0.99,True,12871.0
22,195,128,901,691,Kyungpook National University,H.J. Kim,https://scholar.google.com//citations?user=Xpt9ulQAAAAJ&hl=en,157214,80756,1,female,0.81,False,0.0
23,168,133,1049,757,Harvard University,Masahiro Morii,https://scholar.google.com//citations?user=0TWLCU8AAAAJ&hl=en,157292,96808,1,male,1.0,False,0.0
24,55,38,100,83,"Indiana University, Bloomington",Srinivasan Iyengar,https://scholar.google.com//citations?user=2i-EEtYAAAAJ&hl=en,152047,72108,1,male,1.0,False,0.0
25,179,159,915,757,University of Arizona,Elliott Cheu,https://scholar.google.com//citations?user=EH2LUukAAAAJ&hl=en,149961,109753,1,male,0.95,False,0.0
26,170,128,1053,828,Harvard University,Joao Guimaraes da Costa,https://scholar.google.com//citations?user=mWXjhlsAAAAJ&hl=en,152691,96005,1,male,1.0,False,0.0
27,60,48,129,118,Ecole Polytechnique Fédérale de Lausanne,Oleg Yazyev,https://scholar.google.com//citations?user=fy6BksUAAAAJ&hl=en,143581,87227,1,female,0.5,False,0.0
28,170,132,1007,760,Northeastern University,Darien Wood,https://scholar.google.com//citations?user=xlrFkp8AAAAJ&hl=en,150273,95592,1,male,1.0,False,0.0
29,163,150,928,817,Shanghai Jiao Tong University,Haijun Yang,https://scholar.google.com//citations?user=7Q8Zk38AAAAJ&hl=en,153400,120432,1,male,1.0,False,0.0
30,173,130,964,737,McGill University,Andreas Warburton,https://scholar.google.com//citations?user=HI4OwhYAAAAJ&hl=en,156082,95805,1,female,0.99,False,0.0
31,173,140,1273,928,University of Kansas,Philip Baringer,https://scholar.google.com//citations?user=a_G_PSkAAAAJ&hl=en,145075,93747,1,male,1.0,False,0.0
32,114,62,363,187,,Lev Davidovich Landau,https://scholar.google.com//citations?user=z-tOdB4AAAAJ&hl=en,142502,35769,1,male,0.99,True,304.0
33,165,113,842,581,Michigan State University,Carl Bromberg,https://scholar.google.com//citations?user=6IavpZkAAAAJ&hl=en,143329,80997,1,male,0.98,False,0.0
34,191,144,680,539,Kyungpook National University,DongHee Kim,https://scholar.google.com//citations?user=RvzNZeQAAAAJ&hl=en,139958,80835,1,female,1.0,False,0.0
35,154,122,681,547,University of Sydney,Bruce Yabsley,https://scholar.google.com//citations?user=D0SJGwoAAAAJ&hl=en,142498,99636,1,male,0.67,False,0.0
36,162,127,785,583,Radboud University,Nicolo de Groot,https://scholar.google.com//citations?user=mCHyehIAAAAJ&hl=en,137866,90888,1,male,0.99,False,0.0
37,170,128,888,691,York University,Wendy J Taylor,https://scholar.google.com//citations?user=RjhPrcIAAAAJ&hl=en,139303,85091,1,male,1.0,False,0.0
38,155,123,790,637,Centro Brasileiro de Pesquisas Fisicas,Gilvan Augusto Alves,https://scholar.google.com//citations?user=ZzJYJvsAAAAJ&hl=en,136689,92026,1,male,0.87,False,0.0
39,169,150,881,711,University of Massachusetts,Stephane Willocq,https://scholar.google.com//citations?user=YyQ1XrkAAAAJ&hl=en,136369,99003,1,male,1.0,False,0.0
40,143,88,900,525,Ohio State University,Klaus Honscheid,https://scholar.google.com//citations?user=5qBzgbIAAAAJ&hl=en,134821,43179,1,male,1.0,False,0.0
41,168,150,897,671,University of Athens,Christine Kourkoumelis,https://scholar.google.com//citations?user=0recCDkAAAAJ&hl=en,135546,97715,1,male,0.95,False,0.0
42,151,123,794,497,Queen Mary University of London,S L Lloyd,https://scholar.google.com//citations?user=h9ehaQwAAAAJ&hl=en,135428,87329,1,male,1.0,False,0.0
43,167,147,774,668,University of Arizona,John Rutherfoord,https://scholar.google.com//citations?user=izg65G0AAAAJ&hl=en,133619,96958,1,female,1.0,True,4882.0
44,169,148,935,695,University of Chicago,Mark Oreglia,https://scholar.google.com//citations?user=DWdw42oAAAAJ&hl=en,133473,94694,1,male,1.0,False,0.0
45,155,132,904,732,Tata Institute of Fundamental Research,Gagan Mohanty,https://scholar.google.com//citations?user=z28-CBkAAAAJ&hl=en,134193,95256,1,male,1.0,False,0.0
46,141,124,491,450,University of Montreal,Jean-Francois Arguin,https://scholar.google.com//citations?user=l7hvHhIAAAAJ&hl=en,133548,93664,1,female,0.53,False,0.0
47,161,105,719,489,University of Michigan,Stephen R Forrest,https://scholar.google.com//citations?user=gAP-9H8AAAAJ&hl=en,131851,54066,1,male,1.0,False,0.0
48,153,123,776,650,Lomonosov Moscow State University,Lev Dudko,https://scholar.google.com//citations?user=zEQGLhoAAAAJ&hl=en,132950,93797,1,male,1.0,False,0.0
49,145,125,713,641,,Eduard De La Cruz Burelo,https://scholar.google.com//citations?user=nrmcd_8AAAAJ&hl=en,132587,99086,1,male,0.99,False,0.0
50,168,151,919,724,Universidad Nacional de La Plata,María Teresa Dova,https://scholar.google.com//citations?user=WJp137kAAAAJ&hl=en,132165,100893,1,male,1.0,False,0.0
51,169,148,787,635,National Technical University of Athens,yorgos tsipolitis,https://scholar.google.com//citations?user=lfpeydEAAAAJ&hl=en,127544,95268,1,male,0.99,False,0.0
52,170,150,754,713,,Frank Geurts,https://scholar.google.com//citations?user=MVKIqaYAAAAJ&hl=en,130348,97080,1,male,1.0,False,0.0
53,147,126,815,709,University of Rochester,Aran Garcia-Bellido,https://scholar.google.com//citations?user=3Y0NyCQAAAAJ&hl=en,128613,95533,1,male,1.0,False,0.0
54,148,123,703,601,Simon Fraser University,Bernd Stelzer,https://scholar.google.com//citations?user=rKGIeVMAAAAJ&hl=en,131634,92778,1,male,1.0,False,0.0
55,144,89,497,362,University of California at Berkeley,Steven G. Louie,https://scholar.google.com//citations?user=m0u9N18AAAAJ&hl=en,126488,61460,1,male,1.0,False,0.0
56,42,30,84,63,Central Michigan University,Juan E. Peralta,https://scholar.google.com//citations?user=A-XTef8AAAAJ&hl=en,122202,59287,1,male,0.99,False,0.0
57,142,122,688,467,University of Bologna,francesco navarria,https://scholar.google.com//citations?user=DR6Ccx8AAAAJ&hl=en,123302,83980,1,male,0.98,False,0.0
58,163,139,710,627,,John L Wood,https://scholar.google.com//citations?user=UadnFGIAAAAJ&hl=en,123542,92034,1,male,0.98,False,0.0
59,147,124,563,496,Massachusetts Institute of Technology,Markus Klute,https://scholar.google.com//citations?user=mUDHRIQAAAAJ&hl=en,126691,95818,1,male,0.98,False,0.0
60,152,143,611,550,Université catholique de Louvain,Giacomo Bruno,https://scholar.google.com//citations?user=Ty58YmYAAAAJ&hl=en,123078,103532,1,male,0.97,False,0.0
61,150,131,755,678,Michigan State University,Reinhard Schwienhorst,https://scholar.google.com//citations?user=ySr2KdYAAAAJ&hl=en,121319,88181,1,male,1.0,False,0.0
62,142,122,693,543,CERN,Martijn Mulders,https://scholar.google.com//citations?user=w0usHq0AAAAJ&hl=en,121049,87267,1,male,1.0,False,0.0
63,154,123,579,472,CERN,Emilio Meschi,https://scholar.google.com//citations?user=EHpwyRoAAAAJ&hl=en,120722,83251,1,male,0.98,False,0.0
64,152,85,644,478,University of Illinois at Urbana-Champaign,Klaus Schulten,https://scholar.google.com//citations?user=k7vghtEAAAAJ&hl=en,118860,52504,1,female,1.0,True,26382.0
65,155,142,1113,873,,Sercan Sen,https://scholar.google.com//citations?user=u_E-4x0AAAAJ&hl=en,118620,91459,1,female,1.0,False,0.0
66,126,86,842,452,Syracuse University,Sheldon Stone,https://scholar.google.com//citations?user=47o1YssAAAAJ&hl=en,118196,54417,1,male,1.0,False,0.0
67,162,149,679,631,National Technical University of Athens,Theo Alexopoulos,https://scholar.google.com//citations?user=nHr4PcQAAAAJ&hl=en,118096,96472,1,male,1.0,False,0.0
68,172,148,796,712,Tokyo Institute of Technology,Masahiro Kuze,https://scholar.google.com//citations?user=ZklRFNMAAAAJ&hl=en,118341,90633,1,female,0.99,False,0.0
69,150,95,1120,769,,William A Goddard,https://scholar.google.com//citations?user=yMZlErUAAAAJ&hl=en,117730,49330,1,male,0.99,False,0.0
70,137,121,675,476,University of Cyprus,Panos Razis,https://scholar.google.com//citations?user=mG5PqsoAAAAJ&hl=en,117727,86111,1,male,1.0,False,0.0
71,146,124,691,584,Universidade Estadual Paulista,S. F. Novaes,https://scholar.google.com//citations?user=TaWGvWkAAAAJ&hl=en,117715,86976,1,male,1.0,False,0.0
72,145,128,534,483,"Indian Institute of Science, Bangalore",Jyothsna Komaragiri,https://scholar.google.com//citations?user=Pop0faQAAAAJ&hl=en,117708,92732,1,male,0.93,False,0.0
73,140,110,670,437,University of Alberta,Douglas M Gingrich,https://scholar.google.com//citations?user=jRxY-MkAAAAJ&hl=en,117346,74850,1,male,1.0,False,0.0
74,144,117,623,476,Bogazici University,Veysi Erkcan Ozcan,https://scholar.google.com//citations?user=c-UdnfgAAAAJ&hl=en,115281,81064,1,male,0.89,False,0.0
75,154,121,799,684,University of Zurich,Florencia Canelli,https://scholar.google.com//citations?user=udbzx3gAAAAJ&hl=en,116283,81958,1,female,1.0,False,0.0
76,147,122,685,541,,Toyoko J. Orimoto,https://scholar.google.com//citations?user=okpS1a0AAAAJ&hl=en,115893,84904,1,male,1.0,False,0.0
77,134,110,558,492,,Prolay Mal,https://scholar.google.com//citations?user=nbvLL1oAAAAJ&hl=en,116908,88899,1,male,1.0,False,0.0
78,154,139,617,567,University of Texas at Arlington,Giulio Usai,https://scholar.google.com//citations?user=yA5WCdEAAAAJ&hl=en,114815,90997,1,female,1.0,False,0.0
79,148,119,613,455,,Guido Tonelli,https://scholar.google.com//citations?user=CJzW92oAAAAJ&hl=en,115020,76959,1,male,1.0,True,8856.0
80,60,45,150,117,UC Irvine,Kieron Burke,https://scholar.google.com//citations?user=NNwQAegAAAAJ&hl=en,112915,71675,1,male,1.0,False,0.0
81,147,121,664,540,UERJ,Andre Sznajder,https://scholar.google.com//citations?user=t2en9tYAAAAJ&hl=en,114808,81100,1,male,1.0,False,0.0
82,114,47,403,173,University of Oxford,Brian Foster,https://scholar.google.com//citations?user=xiUTD50AAAAJ&hl=en,113691,39140,1,male,1.0,True,748.0
83,149,63,416,263,NIH,Ad Bax,https://scholar.google.com//citations?user=16G-34YAAAAJ&hl=en,113836,21729,1,female,0.52,True,8320.0
84,146,124,705,622,Boston University,Tulika Bose,https://scholar.google.com//citations?user=UGpiOJ8AAAAJ&hl=en,113791,86431,1,female,1.0,False,0.0
85,136,118,635,458,CIEMAT,Pablo García Abia,https://scholar.google.com//citations?user=itn9gLcAAAAJ&hl=en,114232,83194,1,male,1.0,False,0.0
86,129,113,495,444,Boston University,Kevin Black,https://scholar.google.com//citations?user=jmTm7ZgAAAAJ&hl=en,114373,90890,1,male,1.0,True,553.0
87,135,116,602,466,Lund University,Oxana Smirnova,https://scholar.google.com//citations?user=exYF0P8AAAAJ&hl=en,112832,81208,1,male,1.0,False,0.0
88,142,96,442,365,Durham University,Carlos Frenk,https://scholar.google.com//citations?user=1sSj1fYAAAAJ&hl=en,112177,44272,1,male,1.0,True,9468.0
89,139,118,622,533,Simon Fraser University,Dugan O'Neil,https://scholar.google.com//citations?user=8slR20EAAAAJ&hl=en,110284,78424,1,female,1.0,False,0.0
90,145,124,593,480,Florida Institute of Technology,Francisco Yumiceva,https://scholar.google.com//citations?user=4SnOuqUAAAAJ&hl=en,112799,83492,1,male,1.0,False,0.0
91,138,123,580,482,University of Debrecen,Zoltán Trócsányi,https://scholar.google.com//citations?user=V8BE9ugAAAAJ&hl=en,109868,86388,1,male,0.97,False,0.0
92,147,135,550,502,Novosibirsk State University,Yuri Tikhonov,https://scholar.google.com//citations?user=rnevOEoAAAAJ&hl=en,112185,90599,1,male,0.99,False,0.0
93,138,119,590,516,Vrije Universiteit Brussel,Freya Blekman,https://scholar.google.com//citations?user=B147kE0AAAAJ&hl=en,109397,83796,1,male,1.0,False,0.0
94,142,129,577,481,Purdue University,Norbert Neumeister,https://scholar.google.com//citations?user=htgqRewAAAAJ&hl=en,109114,86226,1,male,1.0,False,0.0
95,139,123,529,463,,Richard Cavanaugh,https://scholar.google.com//citations?user=lmJqEo4AAAAJ&hl=en,108758,83333,1,male,1.0,False,0.0
96,119,107,387,364,SMU,Zhihua Liang,https://scholar.google.com//citations?user=euNshFkAAAAJ&hl=en,107996,84583,1,male,0.99,False,0.0
97,105,84,281,236,University of Oxford,Subir Sarkar,https://scholar.google.com//citations?user=LjCUUW0AAAAJ&hl=en,104794,49251,1,male,1.0,False,0.0
98,128,119,604,467,CERN,H.H.J. ten Kate,https://scholar.google.com//citations?user=snIzmeUAAAAJ&hl=en,107666,84118,1,male,1.0,False,0.0
99,126,113,431,422,,Thomas Koffas,https://scholar.google.com//citations?user=8Dz6dZ0AAAAJ&hl=en,104772,86059,1,male,1.0,False,0.0
100,131,106,475,380,,Anna Di Ciaccio,https://scholar.google.com//citations?user=V-etuWwAAAAJ&hl=en,103980,72831,1,male,1.0,,
101,139,124,544,500,,Martti Raidal,https://scholar.google.com//citations?user=0VIRqYsAAAAJ&hl=en,107256,87130,1,male,1.0,False,0.0
102,132,118,503,428,,Rudolf Frühwirth,https://scholar.google.com//citations?user=QzKLT6sAAAAJ&hl=en,105796,80619,1,male,1.0,False,0.0
103,127,112,486,415,,Edoardo Gorini,https://scholar.google.com//citations?user=dZGRVkoAAAAJ&hl=en,105526,81238,1,male,1.0,False,0.0
104,98,63,281,177,UCLA,Edward L. Wright,https://scholar.google.com//citations?user=0rlyyTwAAAAJ&hl=en,101869,36817,1,male,0.99,True,5162.0
105,138,125,437,428,CIEMAT,Josep Flix,https://scholar.google.com//citations?user=z7fa7zMAAAAJ&hl=en,103665,84784,1,male,0.99,False,0.0
106,152,138,685,602,Kyungpook National University,Guinyun Kim,https://scholar.google.com//citations?user=FTHdxDMAAAAJ&hl=en,101167,84332,1,male,1.0,False,0.0
107,148,134,781,622,Universidad de Cantabria,Francisco Matorras,https://scholar.google.com//citations?user=q_wYjF8AAAAJ&hl=en,101854,79065,1,male,1.0,False,0.0
108,146,111,619,437,Yale University,John W. Harris,https://scholar.google.com//citations?user=WvaolBUAAAAJ&hl=en,99905,49269,1,male,1.0,False,0.0
