,H_index,H_index_5,I_index,I_index_5,prof_insti,prof_name,tot_citations,tot_citations_5
0,181,140,1454,1059,NA,francesca pastore,185705,107978
1,186,140,1615,1140,University of Edinburgh,Thomas Doherty,220645,132360
2,192,102,323,276,NA,Edward Witten,193279,41773
3,187,154,1240,973,Karlsruhe Institute of Technology,Joerg Meyer,161714,113955
4,183,134,417,370,stanford university,"Hongjie Dai, NR",180772,85113
5,134,104,301,250,Northeastern University,Albert-László Barabási,192085,91118
6,175,137,1417,1033,"Royal Holloway, University of London",Glen Cowan,243331,130656
7,118,94,458,389,University of British Columbia,Douglas Scott,156298,82988
8,203,152,1840,1450,Cinvestav,Heriberto Castilla,203740,123728
9,213,137,1674,1110,Seoul National University,s. b. kim,234446,105063
