,name,wiki_bool,wiki_length
0,Georg Kresse,False,0
1,Gustavo E. Scuseria,False,0
2,Alan Heeger,True,253
3,Glen Cowan,True,2681
4,Alice Bean,False,0
5,DEYWIS MORENO,False,0
6,Sehwook Lee,False,0
7,A. Bodek,False,0
8,H. Eugene Stanley,True,10897
9,Farkhad Khalil-zada,False,0
10,"Pekka Sinervo, FRSC",False,0
11,Piyali Banerjee,False,0
12,Andrea Ventura,False,0
13,daniela bortoletto,False,0
14,Carlo Dallapiccola,False,0
15,Andrew Ivanov,False,0
16,David M Strom,False,0
17,Justin Albert,True,8909
18,Halil Saka,False,0
19,Gregor Herten,False,0
20,Aaron Dominguez,False,0
21,Mark Newman,True,12871
22,H.J. Kim,False,0
23,Masahiro Morii,False,0
24,Srinivasan Iyengar,False,0
25,Elliott Cheu,False,0
26,Joao Guimaraes da Costa,False,0
27,Oleg Yazyev,False,0
28,Darien Wood,False,0
29,Haijun Yang,False,0
30,Andreas Warburton,False,0
31,Philip Baringer,False,0
32,Lev Davidovich Landau,True,304
33,Carl Bromberg,False,0
34,DongHee Kim,False,0
35,Bruce Yabsley,False,0
36,Nicolo de Groot,False,0
37,Wendy J Taylor,False,0
38,Gilvan Augusto Alves,False,0
39,Stephane Willocq,False,0
40,Klaus Honscheid,False,0
41,Christine Kourkoumelis,False,0
42,S L Lloyd,False,0
43,John Rutherfoord,True,4882
44,Mark Oreglia,False,0
45,Gagan Mohanty,False,0
46,Jean-Francois Arguin,False,0
47,Stephen R Forrest,False,0
48,Lev Dudko,False,0
49,Eduard De La Cruz Burelo,False,0
50,María Teresa Dova,False,0
51,yorgos tsipolitis,False,0
52,Frank Geurts,False,0
53,Aran Garcia-Bellido,False,0
54,Bernd Stelzer,False,0
55,Steven G. Louie,False,0
56,Juan E. Peralta,False,0
57,francesco navarria,False,0
58,John L Wood,False,0
59,Markus Klute,False,0
60,Giacomo Bruno,False,0
61,Reinhard Schwienhorst,False,0
62,Martijn Mulders,False,0
63,Emilio Meschi,False,0
64,Klaus Schulten,True,26382
65,Sercan Sen,False,0
66,Sheldon Stone,False,0
67,Theo Alexopoulos,False,0
68,Masahiro Kuze,False,0
69,William A Goddard,False,0
70,Panos Razis,False,0
71,S. F. Novaes,False,0
72,Jyothsna Komaragiri,False,0
73,Douglas M Gingrich,False,0
74,Veysi Erkcan Ozcan,False,0
75,Florencia Canelli,False,0
76,Toyoko J. Orimoto,False,0
77,Prolay Mal,False,0
78,Giulio Usai,False,0
79,Guido Tonelli,True,8856
80,Kieron Burke,False,0
81,Andre Sznajder,False,0
82,Brian Foster,True,748
83,Ad Bax,True,8320
84,Tulika Bose,False,0
85,Pablo García Abia,False,0
86,Kevin Black,True,553
87,Oxana Smirnova,False,0
88,Carlos Frenk,True,9468
89,Dugan O'Neil,False,0
90,Francisco Yumiceva,False,0
91,Zoltán Trócsányi,False,0
92,Yuri Tikhonov,False,0
93,Freya Blekman,False,0
94,Norbert Neumeister,False,0
95,Richard Cavanaugh,False,0
96,Zhihua Liang,False,0
97,Subir Sarkar,False,0
98,H.H.J. ten Kate,False,0
99,Thomas Koffas,False,0
100,Martti Raidal,False,0
101,Rudolf Frühwirth,False,0
102,Edoardo Gorini,False,0
103,Edward L. Wright,True,5162
104,Josep Flix,False,0
105,Guinyun Kim,False,0
106,Francisco Matorras,False,0
107,John W. Harris,False,0
108,Hafeez R. Hoorani,False,0
109,"Bee, Christopher",False,0
110,Orhan CAKIR,False,0
111,David Lopez Mateos,False,0
112,Philip Butler,True,3643
113,Timothy Heckman,False,0
114,Thomas F. Stocker,False,0
115,Sergey Peleganchuk,False,0
116,Pedro Ferreira da Silva,False,0
117,Kevin Stenson,False,0
118,Raymond Frey,True,6564
119,Victor T. Kim,False,0
120,laura perini,False,0
121,Efe Yazgan,False,0
122,Josh Cogan,False,0
123,Joao Carvalho,True,235
124,David A. Weitz,True,3687
125,Ignazio Lazzizzera,False,0
126,Panja Luukka,False,0
127,Gianluca Cerminara,False,0
128,Frank Wilczek,True,19955
129,Federica Legger,False,0
130,Mingshui Chen,False,0
131,Eija Tuominen,False,0
132,Marisilvia Donadelli,False,0
133,ferhat ozok,False,0
134,Saleh Sultansoy,False,0
135,Vincenzo Chiochia,False,0
136,Mikhail Katsnelson,True,6139
137,Christian Ohm,False,0
138,Nathaniel Odell,True,238
139,Philip Kim,True,10027
140,Abbas Kenan Ciftci,False,0
141,Mark Halpern,False,0
142,Lovedeep Saini,False,0
143,Flemming Besenbacher,False,0
144,N. Wickramage,False,0
145,André David,False,0
146,John Terning,False,0
147,Donal D C Bradley,False,0
148,Jonathan Butterworth,True,494
149,Ali Fahim,False,0
150,Altan Cakir,False,0
151,Victor Bobrovnikov,False,0
152,Alessandro Gabrielli,False,0
153,Giorgio Parisi,True,12184
154,Joanna Dunkley,True,207
155,Shlomo Havlin,True,7916
156,Irinel Caprini,False,0
157,Gary Hinshaw,True,2860
158,kamal Benslama,False,0
159,Loic Quertenmont,False,0
160,Alexander Gude,False,0
161,Yurii Kuyanov,False,0
162,Z. F. Ren,False,0
163,Howard Haber,True,224
164,Matt Dobbs,False,0
165,Hiroaki Aihara,False,0
166,Katsushi Arisaka,False,0
167,Yu-Gang Ma,False,0
168,Shou-Cheng Zhang,True,214
169,David Vanderbilt,True,2131
170,Henry J Snaith,False,0
171,Adam Riess,True,12791
172,Mikhail D. lukin,False,0
173,Amr Radi,False,0
174,David Gerdes,True,7239
175,David Joffe,False,0
176,Jongki Kim,False,0
177,Jürgen Kurths,True,6970
178,Rene Bellwied,False,0
179,A Zettl,False,0
180,Jiandi Zhang,False,0
181,Piers Forster,True,6028
182,Rohin Narayan,False,0
183,Rachik Soualah,False,0
184,Robert L. Byer,True,6971
185,Peter Skands,False,0
186,Eunil Won,False,0
187,Elliott Lieb,True,209
188,James Yorke,True,529
189,Matts Roos,False,0
190,Kenta Shigaki,False,0
191,Sijbrand de Jong,False,0
192,Martin Grunewald,False,0
193,Christopher Stubbs,True,4243
194,Alexander Zaytsev,True,824
195,Olaf Reimer,False,0
196,Cumran Vafa,False,0
197,Horst Wahl,False,0
198,Heidi Schellman,True,7749
199,Walt A de Heer,False,0
200,Gordon Richards,True,11230
201,Jeff Dahn,True,5846
202,STUDY TO SHINE,False,0
203,Istvan Csabai,False,0
204,A.H. MacDonald,False,0
205,Jens Erler,False,0
206,Jo van den Brand,False,0
207,Max Tegmark,True,14924
208,eleonora luppi,False,0
209,Алексей Талышев,False,0
210,Kay Kinoshita,False,0
211,Julio F. Navarro,False,0
212,Alessandro Petrolini,False,0
213,I. Chuang,False,0
214,Peter F. Michelson,False,0
215,Stanley J. Brodsky,True,217
216,Richard Van Kooten,False,0
217,Chang-Seong Moon,False,0
218,Karolos Potamianos,False,0
219,John A. J. Matthews,False,0
220,Norm Buchanan,False,0
221,Peter Nordlander,False,0
222,Baba Potukuchi,False,0
223,Mile Dželalija,False,0
224,FILIPPO GIORGI,False,0
225,Riichiro Saito,False,0
226,Timothy McKay,True,593
227,John Gregory Learned,False,0
228,Kevin S. McFarland,False,0
229,Christos Touramanis,False,0
230,German Valencia,False,0
231,Tony F Heinz,False,0
232,D. Mark Manley,False,0
233,David Gross,True,14193
234,Ricardo Graciani Diaz,False,0
235,Keith Riles,False,0
236,Shaun Cole,True,2551
237,Rabindra Mohapatra,True,4115
238,Peter E. Blöchl,False,0
239,Joss Bland-Hawthorn,False,0
240,S De Pasquale,False,0
241,Andy Buckley,True,11151
242,Peter G. Wolynes,False,0
243,Patrick Sutton,True,233
244,Sun Kee Kim,True,268
245,Lawrence Wiencke,False,0
246,Matthias Grosse Perdekamp,False,0
247,Andrew G. Rinzler,False,0
248,Charles Kane,True,627
249,Zhi-xun Shen,False,0
250,Angel Rubio,True,10386
251,Fuqiang Wang,False,0
252,Alexey Buzykaev,False,0
253,Jan Conrad,False,0
254,Steven Johnson,True,804
255,Paul Corkum,True,11014
256,Wladek Minor,False,0
257,Lloyd Knox,False,0
258,David Pines,True,17012
259,Stuart Raby,False,0
260,Mauricio Terrones,False,0
261,Paul McEuen,True,5360
262,David DiVincenzo,True,6468
263,Bernd Surrow,False,0
264,Bill Gabella,False,0
265,Giacomo Ortona,False,0
266,Efstathios Stiliaris,False,0
267,Ding-Xiong Wang,False,0
268,EUGENIO PAOLONI,False,0
269,John Schwarz,True,595
270,Lawrence Pinsky,True,1484
271,Prof. Raghunath Sahoo,False,0
272,Johanna Stachel,True,9803
273,Ravhi Kumar,False,0
274,David R. Nelson,True,232
275,Samo Stanic,False,0
276,Valerio Bocci,False,0
277,Mikhail Shifman,True,11744
278,Masashi Hazumi,False,0
279,Adrian Buzatu,False,0
280,Takayuki Sumiyoshi,False,0
281,SHIMON               WEISS,False,0
282,Karsten Danzmann,False,0
283,Steven M. Girvin,True,208
284,Olga Botner,False,0
285,Phil Lubin,False,0
286,Mark Wise,True,149
287,David Ritchie,True,1349
288,Francesco Fidecaro,False,0
289,Jonathan Knight,True,10370
290,Alessandra Buonanno,True,4276
291,Piergiorgio Fusco,False,0
292,Fabio Marchesoni,False,0
293,Nobuyuki Kawai,False,0
294,Daniel Loss,True,4693
295,Ado Jorio,False,0
296,Chunhai Fan,False,0
297,Francois Peeters,False,0
298,Hanshuang Chen（陈含爽）,False,0
299,Hawoong Jeong,False,0
300,Arthur P. Ramirez,False,0
301,Shaul Mukamel,True,3882
302,Declan Keane,False,0
303,Ольга Резанова,False,0
304,Jamie Holder,False,0
